datetime,month,week,weekday,day,hour,is_holiday,precipitation,temperature,wind_speed,humidity,local,contract_type,user,active_power
2017-08-01 00:00:00,8,31,1,1,0,0,0.0,16.4,9.0,64.0,0,1,AA8동_AA9호_1,0.031
2017-08-01 00:15:00,8,31,1,1,0,0,0.0,17.1,11.9,61.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 00:30:00,8,31,1,1,0,0,0.0,17.5,14.8,61.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 00:45:00,8,31,1,1,0,0,0.0,17.6,15.5,58.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 01:00:00,8,31,1,1,1,0,0.0,17.5,15.8,56.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 01:15:00,8,31,1,1,1,0,0.0,17.4,15.5,58.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 01:30:00,8,31,1,1,1,0,0.0,17.0,12.2,62.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 01:45:00,8,31,1,1,1,0,0.0,16.3,8.3,67.0,0,1,AA8동_AA9호_1,0.005
2017-08-01 02:00:00,8,31,1,1,2,0,0.0,17.1,11.9,66.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 02:15:00,8,31,1,1,2,0,0.0,16.7,10.4,67.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 02:30:00,8,31,1,1,2,0,0.0,17.1,12.2,63.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 02:45:00,8,31,1,1,2,0,0.0,16.3,8.3,67.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 03:00:00,8,31,1,1,3,0,0.0,16.5,7.6,65.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 03:15:00,8,31,1,1,3,0,0.0,14.9,5.8,75.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 03:30:00,8,31,1,1,3,0,0.0,13.2,7.6,89.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 03:45:00,8,31,1,1,3,0,0.0,12.6,8.6,93.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 04:00:00,8,31,1,1,4,0,0.0,12.0,7.6,98.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 04:15:00,8,31,1,1,4,0,0.0,11.7,6.1,100.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 04:30:00,8,31,1,1,4,0,0.0,12.1,7.9,100.0,0,1,AA8동_AA9호_1,0.005
2017-08-01 04:45:00,8,31,1,1,4,0,0.0,12.3,4.3,100.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 05:00:00,8,31,1,1,5,0,0.0,16.9,16.2,73.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 05:15:00,8,31,1,1,5,0,0.0,16.6,12.6,73.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 05:30:00,8,31,1,1,5,0,0.0,16.9,10.4,70.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 05:45:00,8,31,1,1,5,0,0.0,16.9,8.6,70.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 06:00:00,8,31,1,1,6,0,0.0,16.8,6.1,70.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 06:15:00,8,31,1,1,6,0,0.0,17.0,7.2,68.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 06:30:00,8,31,1,1,6,0,0.0,16.6,5.8,72.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 06:45:00,8,31,1,1,6,0,0.0,16.2,5.8,75.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 07:00:00,8,31,1,1,7,0,0.0,16.5,6.1,77.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 07:15:00,8,31,1,1,7,0,0.0,16.1,4.3,84.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 07:30:00,8,31,1,1,7,0,0.0,16.0,15.1,87.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 07:45:00,8,31,1,1,7,0,0.0,16.4,16.9,82.0,0,1,AA8동_AA9호_1,0.005
2017-08-01 08:00:00,8,31,1,1,8,0,0.0,16.8,16.2,79.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 08:15:00,8,31,1,1,8,0,0.0,17.9,10.1,79.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 08:30:00,8,31,1,1,8,0,0.0,18.5,11.9,73.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 08:45:00,8,31,1,1,8,0,0.0,19.1,10.4,70.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 09:00:00,8,31,1,1,9,0,0.5,19.0,13.7,68.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 09:15:00,8,31,1,1,9,0,0.5,19.3,15.5,61.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 09:30:00,8,31,1,1,9,0,0.5,19.6,16.2,60.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 09:45:00,8,31,1,1,9,0,0.5,20.6,11.9,56.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 10:00:00,8,31,1,1,10,0,0.0,20.7,18.0,53.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 10:15:00,8,31,1,1,10,0,0.0,20.1,16.6,57.0,0,1,AA8동_AA9호_1,0.005
2017-08-01 10:30:00,8,31,1,1,10,0,0.0,20.3,17.3,55.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 10:45:00,8,31,1,1,10,0,0.0,21.2,20.2,54.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 11:00:00,8,31,1,1,11,0,0.0,21.0,18.7,51.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 11:15:00,8,31,1,1,11,0,0.0,22.0,15.8,53.0,0,1,AA8동_AA9호_1,0.006
2017-08-01 11:30:00,8,31,1,1,11,0,0.0,22.1,19.1,52.0,0,1,AA8동_AA9호_1,0.006
