datetime,active_power,month,week,weekday,day,hour,is_holiday
2017-08-01 00:00:00,0.35,8,31,1,1,0,0
2017-08-01 00:15:00,0.94,8,31,1,1,0,0
2017-08-01 00:30:00,1.0,8,31,1,1,0,0
2017-08-01 00:45:00,0.68,8,31,1,1,0,0
2017-08-01 01:00:00,0.58,8,31,1,1,1,0
2017-08-01 01:15:00,0.07,8,31,1,1,1,0
2017-08-01 01:30:00,0.11,8,31,1,1,1,0
2017-08-01 01:45:00,0.07,8,31,1,1,1,0
2017-08-01 02:00:00,0.07,8,31,1,1,2,0
2017-08-01 02:15:00,0.08,8,31,1,1,2,0
2017-08-01 02:30:00,0.09,8,31,1,1,2,0
2017-08-01 02:45:00,0.06,8,31,1,1,2,0
2017-08-01 03:00:00,0.06,8,31,1,1,3,0
2017-08-01 03:15:00,0.11,8,31,1,1,3,0
2017-08-01 03:30:00,0.07,8,31,1,1,3,0
2017-08-01 03:45:00,0.07,8,31,1,1,3,0
2017-08-01 04:00:00,0.07,8,31,1,1,4,0
2017-08-01 04:15:00,0.1,8,31,1,1,4,0
2017-08-01 04:30:00,0.07,8,31,1,1,4,0
2017-08-01 04:45:00,0.06,8,31,1,1,4,0
2017-08-01 05:00:00,0.06,8,31,1,1,5,0
2017-08-01 05:15:00,0.1,8,31,1,1,5,0
2017-08-01 05:30:00,0.07,8,31,1,1,5,0
2017-08-01 05:45:00,0.07,8,31,1,1,5,0
2017-08-01 06:00:00,0.07,8,31,1,1,6,0
2017-08-01 06:15:00,0.11,8,31,1,1,6,0
2017-08-01 06:30:00,0.08,8,31,1,1,6,0
2017-08-01 06:45:00,0.1,8,31,1,1,6,0
2017-08-01 07:00:00,0.1,8,31,1,1,7,0
2017-08-01 07:15:00,0.14,8,31,1,1,7,0
2017-08-01 07:30:00,0.1,8,31,1,1,7,0
2017-08-01 07:45:00,0.1,8,31,1,1,7,0
2017-08-01 08:00:00,0.1,8,31,1,1,8,0
2017-08-01 08:15:00,0.14,8,31,1,1,8,0
2017-08-01 08:30:00,0.09,8,31,1,1,8,0
2017-08-01 08:45:00,0.1,8,31,1,1,8,0
2017-08-01 09:00:00,0.1,8,31,1,1,9,0
2017-08-01 09:15:00,0.14,8,31,1,1,9,0
2017-08-01 09:30:00,0.09,8,31,1,1,9,0
2017-08-01 09:45:00,0.09,8,31,1,1,9,0
2017-08-01 10:00:00,0.1,8,31,1,1,10,0
2017-08-01 10:15:00,0.15,8,31,1,1,10,0
2017-08-01 10:30:00,0.1,8,31,1,1,10,0
2017-08-01 10:45:00,0.09,8,31,1,1,10,0
2017-08-01 11:00:00,0.1,8,31,1,1,11,0
2017-08-01 11:15:00,0.15,8,31,1,1,11,0
2017-08-01 11:30:00,0.1,8,31,1,1,11,0
2017-08-01 11:45:00,0.08,8,31,1,1,11,0
2017-08-01 12:00:00,0.1,8,31,1,1,12,0
2017-08-01 12:15:00,0.11,8,31,1,1,12,0
2017-08-01 12:30:00,0.14,8,31,1,1,12,0
2017-08-01 12:45:00,0.1,8,31,1,1,12,0
2017-08-01 13:00:00,0.11,8,31,1,1,13,0
2017-08-01 13:15:00,0.1,8,31,1,1,13,0
2017-08-01 13:30:00,0.44,8,31,1,1,13,0
2017-08-01 13:45:00,1.73,8,31,1,1,13,0
2017-08-01 14:00:00,1.73,8,31,1,1,14,0
2017-08-01 14:15:00,1.68,8,31,1,1,14,0
2017-08-01 14:30:00,1.7,8,31,1,1,14,0
2017-08-01 14:45:00,1.72,8,31,1,1,14,0
2017-08-01 15:00:00,1.74,8,31,1,1,15,0
2017-08-01 15:15:00,1.53,8,31,1,1,15,0
2017-08-01 15:30:00,1.94,8,31,1,1,15,0
2017-08-01 15:45:00,2.18,8,31,1,1,15,0
2017-08-01 16:00:00,2.18,8,31,1,1,16,0
2017-08-01 16:15:00,2.18,8,31,1,1,16,0
2017-08-01 16:30:00,2.17,8,31,1,1,16,0
2017-08-01 16:45:00,2.14,8,31,1,1,16,0
2017-08-01 17:00:00,2.19,8,31,1,1,17,0
2017-08-01 17:15:00,2.18,8,31,1,1,17,0
2017-08-01 17:30:00,2.24,8,31,1,1,17,0
2017-08-01 17:45:00,2.14,8,31,1,1,17,0
2017-08-01 18:00:00,2.05,8,31,1,1,18,0
2017-08-01 18:15:00,2.1,8,31,1,1,18,0
2017-08-01 18:30:00,2.21,8,31,1,1,18,0
2017-08-01 18:45:00,2.09,8,31,1,1,18,0
2017-08-01 19:00:00,2.1,8,31,1,1,19,0
2017-08-01 19:15:00,2.12,8,31,1,1,19,0
2017-08-01 19:30:00,2.14,8,31,1,1,19,0
2017-08-01 19:45:00,2.11,8,31,1,1,19,0
2017-08-01 20:00:00,2.02,8,31,1,1,20,0
2017-08-01 20:15:00,2.08,8,31,1,1,20,0
2017-08-01 20:30:00,2.05,8,31,1,1,20,0
2017-08-01 20:45:00,2.03,8,31,1,1,20,0
2017-08-01 21:00:00,2.16,8,31,1,1,21,0
2017-08-01 21:15:00,2.53,8,31,1,1,21,0
2017-08-01 21:30:00,2.51,8,31,1,1,21,0
2017-08-01 21:45:00,2.45,8,31,1,1,21,0
2017-08-01 22:00:00,2.41,8,31,1,1,22,0
2017-08-01 22:15:00,2.41,8,31,1,1,22,0
2017-08-01 22:30:00,2.38,8,31,1,1,22,0
2017-08-01 22:45:00,1.56,8,31,1,1,22,0
2017-08-01 23:00:00,1.74,8,31,1,1,23,0
2017-08-01 23:15:00,1.5,8,31,1,1,23,0
2017-08-01 23:30:00,0.4,8,31,1,1,23,0
2017-08-01 23:45:00,0.1,8,31,1,1,23,0
